,contentid,companyName,phone,address,jobType,employeeSize,capital,tag,all,settings
0,,"Wiegand, Mayert and Batz",468-573-8606,36999 Thiel Ports,Manager,17915,86507,"['tag1', 'tag2']",https://myron.org,http://terence.biz
1,,Schaden Inc,979-883-2554 x670,45445 Kraig Lakes,Planner,4152,6413,"['tag1', 'tag2']",https://isabella.name,http://dereck.name
2,,Davis Group,791-975-2287,0188 Jovanny Park,Administrator,72228,5163,"['tag1', 'tag2']",https://gennaro.info,https://ebba.biz
3,,"Ortiz, Hansen and Cassin",600-217-4221 x1561,2071 Reina Falls,Facilitator,41680,5400,"['tag1', 'tag2']",http://myrtis.info,http://casper.info
4,,Wisozk Inc,1-677-792-8540,227 Rutherford Fords,Facilitator,95646,79901,"['tag1', 'tag2']",https://milan.name,https://arvid.biz
5,,Balistreri Inc,615.654.6592 x28989,885 Turcotte Rue,Assistant,98074,27353,"['tag1', 'tag2']",http://tate.info,https://birdie.com
6,,Beer Group,809.660.4139 x57101,66283 Ed Vista,Agent,74349,21113,"['tag1', 'tag2']",http://kennedy.info,http://kolby.com
7,,"Beahan, Lakin and Terry",(582) 326-7613,696 Sauer Hill,Executive,88190,72941,"['tag1', 'tag2']",https://joe.info,http://myra.org
8,,Ebert Inc,820.219.7723,66212 Elody Vista,Technician,55270,51162,"['tag1', 'tag2']",https://lawson.biz,https://georgette.name
9,,Rolfson - Towne,415-362-2470,13322 Jayce Trail,Director,49901,13894,"['tag1', 'tag2']",http://jeremie.net,https://joe.biz
10,,"Beier, Ruecker and Ritchie",807.636.9970 x372,3584 Nash Fords,Specialist,96276,66803,"['tag1', 'tag2']",https://vance.info,https://antonietta.com
11,,Cremin Group,1-768-556-0768 x008,3674 Bessie Haven,Coordinator,69067,61673,"['tag1', 'tag2']",https://rosetta.org,https://enrique.biz
12,,Kling - Pacocha,202-856-8721 x1313,1975 O'Kon Squares,Coordinator,92321,50411,"['tag1', 'tag2']",http://lamar.name,http://linnie.net
13,,"Considine, Reilly and Harber",(647) 881-8848 x2697,2938 Satterfield Square,Designer,82999,54227,"['tag1', 'tag2']",http://kevon.info,http://ila.biz
14,,"Mraz, Spencer and Runolfsson",(272) 594-7272 x46812,7072 Efren Neck,Consultant,85424,44323,"['tag1', 'tag2']",http://jayme.org,https://enrique.net
15,,"Feeney, West and Boyle",1-242-845-4104 x371,514 Melyna Roads,Technician,46339,36867,"['tag1', 'tag2']",https://fabian.com,http://fannie.org
16,,Orn - Von,283-253-4289 x371,746 Yundt Valleys,Developer,4864,49087,"['tag1', 'tag2']",https://anabelle.com,http://jasper.name
17,,"Flatley, Roob and Kutch",439.707.7748 x953,90727 Nasir Mews,Technician,58229,32534,"['tag1', 'tag2']",https://nola.biz,https://miguel.com
18,,Schamberger - Hauck,(831) 539-3411,51236 Mariah Radial,Manager,86345,9573,"['tag1', 'tag2']",https://noe.net,http://hannah.org
19,,Hirthe - Jacobson,893.402.8890 x57326,827 Brekke Trace,Officer,86241,53426,"['tag1', 'tag2']",https://myriam.biz,http://lloyd.name
20,,"Weber, Graham and Bernhard",648-740-2303,83264 Ullrich Ports,Supervisor,57582,27153,"['tag1', 'tag2']",http://jovani.info,https://tania.com
21,,Bartoletti - Huel,(900) 316-0491 x27720,62447 Deckow Terrace,Manager,68992,26198,"['tag1', 'tag2']",https://chaim.name,https://ludie.info
22,,Smith Inc,1-669-896-2814 x02286,8215 Janie Knoll,Specialist,83580,99780,"['tag1', 'tag2']",https://lurline.info,https://lilly.net
23,,Berge - Weber,1-369-231-8175 x66419,439 Sierra Gardens,Officer,84694,45381,"['tag1', 'tag2']",http://jan.com,https://raymundo.com
24,,"Bechtelar, Becker and Gleichner",1-834-693-1122,29435 McCullough Roads,Technician,9649,8068,"['tag1', 'tag2']",https://marilie.com,http://alison.org
25,,"Kessler, Jast and Connelly",1-986-756-2265 x565,6738 Autumn Meadows,Strategist,42941,95230,"['tag1', 'tag2']",https://rebekah.biz,https://giuseppe.net
26,,Sipes Group,1-654-965-1179,712 Chad Brooks,Coordinator,64294,43777,"['tag1', 'tag2']",https://marjory.com,https://franco.org
27,,Green - Pagac,1-415-562-4139 x1939,30074 Ellie Causeway,Technician,31664,60692,"['tag1', 'tag2']",http://antwan.com,https://logan.biz
28,,Baumbach - Pacocha,(322) 240-4737 x4444,103 Lou Valleys,Coordinator,23156,18420,"['tag1', 'tag2']",https://eleanora.info,http://garrick.biz
29,,"Ondricka, Rippin and Predovic",959-902-8452 x31901,7569 Eloise Common,Administrator,87942,22483,"['tag1', 'tag2']",https://francisco.info,https://arturo.biz
30,,Ankunding Group,359.576.5569 x76165,008 Brayan View,Agent,66869,75596,"['tag1', 'tag2']",http://fae.org,http://rupert.net
